date,price
2024-05-12,0.4377
2024-05-13,0.4368
2024-05-14,0.4285
2024-05-15,0.4524
2024-05-16,0.4597
2024-05-17,0.4824
2024-05-18,0.482
2024-05-19,0.4672
2024-05-20,0.502
2024-05-21,0.4946
2024-05-22,0.4835
2024-05-23,0.4656
2024-05-24,0.4601
2024-05-25,0.4623
2024-05-26,0.4581
2024-05-27,0.4683
2024-05-28,0.4576
2024-05-29,0.4512
2024-05-30,0.4465
2024-05-31,0.447
2024-06-01,0.4499
2024-06-02,0.4465
2024-06-03,0.4573
2024-06-04,0.4615
2024-06-05,0.4613
2024-06-06,0.4582
2024-06-07,0.4492
2024-06-08,0.4368
2024-06-09,0.4442
2024-06-10,0.4406
2024-06-11,0.422
2024-06-12,0.4378
2024-06-13,0.421
2024-06-14,0.412
2024-06-15,0.414
2024-06-16,0.4168
2024-06-17,0.4013
2024-06-18,0.3837
2024-06-19,0.3844
2024-06-20,0.3844
2024-06-21,0.376
2024-06-22,0.3846
2024-06-23,0.38
2024-06-24,0.3777
2024-06-25,0.3918
2024-06-26,0.385
2024-06-27,0.3913
2024-06-28,0.3858
2024-06-29,0.3841
2024-06-30,0.3924
2024-07-01,0.4032
2024-07-02,0.4184
2024-07-03,0.4069
2024-07-04,0.3623
2024-07-05,0.3501
2024-07-06,0.3707
2024-07-07,0.3466
2024-07-08,0.3691
2024-07-09,0.3754
2024-07-10,0.3885
2024-07-11,0.3959
2024-07-12,0.4165
2024-07-13,0.4416
2024-07-14,0.4317
2024-07-15,0.4449
2024-07-16,0.4381
2024-07-17,0.4359
2024-07-18,0.4234
2024-07-19,0.439
2024-07-20,0.4373
2024-07-21,0.4469
2024-07-22,0.4262
2024-07-23,0.41
2024-07-24,0.4063
2024-07-25,0.3948
2024-07-26,0.4172
2024-07-27,0.4176
2024-07-28,0.4073
2024-07-29,0.4031
2024-07-30,0.4015
2024-07-31,0.3882
2024-08-01,0.3925
2024-08-02,0.3636
2024-08-03,0.3646
2024-08-04,0.3442
2024-08-05,0.3119
2024-08-06,0.331
2024-08-07,0.3241
2024-08-08,0.3516
2024-08-09,0.3483
2024-08-10,0.3457
2024-08-11,0.3276
2024-08-12,0.339
2024-08-13,0.34
2024-08-14,0.3352
2024-08-15,0.3248
2024-08-16,0.3301
2024-08-17,0.3373
2024-08-18,0.3342
2024-08-19,0.3367
2024-08-20,0.3434
2024-08-21,0.3689
2024-08-22,0.3763
2024-08-23,0.3912
2024-08-24,0.3935
2024-08-25,0.3849
2024-08-26,0.3661
2024-08-27,0.3503
2024-08-28,0.3502
2024-08-29,0.3578
2024-08-30,0.3469
2024-08-31,0.345
2024-09-01,0.3311
2024-09-02,0.3362
2024-09-03,0.3185
2024-09-04,0.3231
2024-09-05,0.3251
2024-09-06,0.3148
2024-09-07,0.3253
2024-09-08,0.339
2024-09-09,0.3435
2024-09-10,0.3431
2024-09-11,0.3532
2024-09-12,0.3564
2024-09-13,0.3606
2024-09-14,0.3539
2024-09-15,0.3385
2024-09-16,0.3303
2024-09-17,0.3338
2024-09-18,0.3441
2024-09-19,0.351
2024-09-20,0.3522
2024-09-21,0.3584
2024-09-22,0.3517
2024-09-23,0.3637
2024-09-24,0.3878
2024-09-25,0.3809
2024-09-26,0.4014
2024-09-27,0.4017
2024-09-28,0.4006
2024-09-29,0.3975
2024-09-30,0.3733
2024-10-01,0.352
2024-10-02,0.3432
2024-10-03,0.3453
2024-10-04,0.3517
2024-10-05,0.351
2024-10-06,0.3575
2024-10-07,0.3512
2024-10-08,0.3448
2024-10-09,0.3396
2024-10-10,0.3396
2024-10-11,0.3517
2024-10-12,0.3532
2024-10-13,0.3486
2024-10-14,0.3643
2024-10-15,0.3591
2024-10-16,0.3521
2024-10-17,0.3432
2024-10-18,0.3507
2024-10-19,0.3513
2024-10-20,0.3649
2024-10-21,0.3609
2024-10-22,0.3645
2024-10-23,0.3497
2024-10-24,0.3465
2024-10-25,0.3261
2024-10-26,0.3337
2024-10-27,0.3399
2024-10-28,0.3437
2024-10-29,0.3561
2024-10-30,0.355
2024-10-31,0.3418
2024-11-01,0.3575
